step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
222,25974,222,1.1003383824909712,0.0,0.72
223,26079,223,1.3287098894232574,0.0,0.6804123711340206
224,26144,224,0.7933718035905573,0.0,0.7796610169491526
225,26225,225,1.2896783517605401,0.0,0.6710526315789473
226,26314,226,0.8035259923388106,0.0,0.7804878048780488
227,26451,227,1.176101569663785,0.0,0.7348484848484849
228,26540,228,1.0054243427396832,0.0,0.7261904761904762
229,26629,229,1.0618607292866706,0.0,0.7294117647058823
230,26838,230,1.2787250576732998,0.0,0.6534653465346535
231,26975,231,1.0818489269976908,0.0,0.7692307692307693
232,27048,232,0.3070585110413175,0.0,0.9420289855072463
233,27193,233,1.0971076655389376,0.0,0.7323943661971831
234,27418,234,1.2155016811826442,0.0,0.6756756756756757
235,27499,235,0.7775012890024784,0.0,0.7733333333333333
236,27604,236,1.199618603078981,0.0,0.7040816326530612
237,27685,237,1.1168635310433899,0.0,0.7236842105263158
238,27774,238,1.1583740904108646,0.0,0.7441860465116279
239,27903,239,0.8813421374921404,0.0,0.7479674796747967
240,28048,240,0.9820579751935499,0.0,0.7338129496402878
241,28185,241,1.1425519065208203,0.0,0.6434108527131783
242,28298,242,0.9578358750997445,0.0,0.7767857142857143
243,28363,243,0.8357742118111176,0.0,0.7619047619047619
244,28492,244,1.4073541776668428,0.0,0.6991869918699187
245,28597,245,1.0603043483025483,0.0,0.7156862745098039
246,28750,246,1.0366615198381919,0.0,0.7034482758620689
247,28839,247,0.9964841285742284,0.0,0.7530864197530864
248,28976,248,0.7946145308990592,0.0,0.8308823529411765
249,29065,249,0.7728672448722281,0.0,0.735632183908046
250,29266,250,1.656501407297385,0.0,0.6030927835051546
251,29331,251,0.5619918889677287,0.0,0.8548387096774194
252,29428,252,0.7821799521068958,0.0,0.8631578947368421
253,29557,253,1.1780504468173492,0.0,0.7109375
254,29726,254,1.0192802084881665,0.0,0.7329192546583851
255,30063,255,0.6676375404569949,0.0,0.8454545454545455
256,30176,256,0.973948435742573,0.0,0.7924528301886793
257,30321,257,0.8575952908472289,0.0,0.7659574468085106
258,30442,258,0.824870478284294,0.0,0.8166666666666667
259,30547,259,1.577900245561971,0.0,0.6274509803921569
260,30604,260,0.5668857839644894,0.0,0.8928571428571429
261,30693,261,1.1952325307400125,0.0,0.6823529411764706
262,30894,262,1.292234930855656,0.0,0.6836734693877551
263,30975,263,1.418160355762791,0.0,0.6708860759493671
264,31104,264,1.0048477026771323,0.0,0.6904761904761905
265,31209,265,1.0924808627631282,0.0,0.7010309278350515
266,31314,266,1.0401074742520229,0.0,0.7156862745098039
267,31387,267,0.18707514565168518,0.0,0.9692307692307692
268,31468,268,0.7313419880854177,0.0,0.7894736842105263
269,31541,269,0.2523786011824206,0.0,0.9305555555555556
270,31734,270,1.1868113666728581,0.0,0.6756756756756757
271,31815,271,0.6956283976974776,0.0,0.8026315789473685
272,31976,272,1.425208817215679,0.0,0.6078431372549019
273,32097,273,1.3354690459825633,0.0,0.6974789915966386
274,32194,274,1.0405251217111577,0.0,0.7191011235955056
275,32291,275,0.5445492414561622,0.0,0.84375
276,32396,276,0.7801977235888148,0.0,0.78
277,32485,277,0.7056129767630405,0.0,0.8023255813953488
278,32686,278,1.180989726826097,0.0,0.7091836734693877
279,32775,279,0.9253121857324438,0.0,0.7407407407407407
280,32856,280,0.8108175611931451,0.0,0.8157894736842105
281,32977,281,0.9502616297112847,0.0,0.782608695652174
282,33122,282,0.8247656601119007,0.0,0.7375886524822695
283,33219,283,0.5670931515692104,0.0,0.8105263157894737
284,33316,284,0.5827297604764096,0.0,0.8736842105263158
285,33429,285,0.7099953907537924,0.0,0.8055555555555556
286,33518,286,0.5965233806738814,0.0,0.8488372093023255
287,33591,287,0.152048360171812,1.0,1.0
288,33736,288,0.7501235077572608,0.0,0.7916666666666666
289,33825,289,0.5863496697585993,0.0,0.8414634146341463
290,33962,290,0.8497687683601701,0.0,0.823076923076923
291,34091,291,0.916041041093532,0.0,0.7459016393442623
292,34284,292,1.2248598597846305,0.0,0.675392670157068
293,34357,293,1.2387056798547555,0.0,0.6811594202898551
294,34462,294,0.6260647363641988,0.0,0.83
295,34567,295,0.9108310620820074,0.0,0.7450980392156863
296,34656,296,0.8575445871061359,0.0,0.7790697674418605
297,34817,297,1.2842364284796135,0.0,0.6535947712418301
298,34954,298,0.9184941797061517,0.0,0.7938931297709924
299,35035,299,0.5587768428590119,0.0,0.8552631578947368
300,35156,300,0.5391807573913928,0.0,0.8495575221238938
301,35221,301,0.6151806740478929,0.0,0.8448275862068966
302,35358,302,0.8529112204741542,0.0,0.7954545454545454
303,35511,303,0.8513518961998331,0.0,0.7586206896551724
304,35576,304,0.3544577979673722,0.0,0.9193548387096774
305,35657,305,0.6903792544284784,0.0,0.8133333333333334
306,35746,306,0.7626025674163579,0.0,0.7764705882352941
307,35819,307,0.8674934927726772,0.0,0.8055555555555556
308,35900,308,0.4931744621701853,0.0,0.8666666666666667
309,36013,309,0.7373065389506631,0.0,0.8198198198198198
310,36110,310,0.9836654509283704,0.0,0.8020833333333334
311,36199,311,0.7754242188018452,0.0,0.7901234567901234
312,36288,312,1.0113649355847538,0.0,0.7176470588235294
313,36449,313,0.7205781604674777,0.0,0.7961783439490446
314,36650,314,1.148608653303002,0.0,0.7346938775510204
315,36779,315,0.6458030194816526,0.0,0.8211382113821138
316,36892,316,0.7502531037537128,0.0,0.8584905660377359
317,36997,317,1.0074260145380523,0.0,0.7422680412371134
318,37086,318,0.5347926080196146,0.0,0.8160919540229885
319,37223,319,0.9418243681782265,0.0,0.7727272727272727
320,37312,320,1.0935382089235797,0.0,0.7529411764705882
321,37649,321,0.5801095283958717,0.0,0.8696969696969697
322,37778,322,0.8379155443837218,0.0,0.7777777777777778
323,37891,323,0.6977636978676226,0.0,0.8348623853211009
324,38084,324,1.0252743463830412,0.0,0.7382198952879581
325,38197,325,0.8808217510291745,0.0,0.7735849056603774
326,38270,326,0.10202881722264893,1.0,1.0
327,38415,327,0.7274686292101797,0.0,0.8201438848920863
328,38536,328,1.0811656395772449,0.0,0.6842105263157895
329,38625,329,0.7348087112619514,0.0,0.7857142857142857
330,38722,330,0.5169117022728665,0.0,0.8526315789473684
331,38803,331,0.522641602743987,0.0,0.8552631578947368
332,38884,332,0.9491939042043868,0.0,0.7368421052631579
333,38965,333,0.5354527554081102,0.0,0.8767123287671232
334,39062,334,0.9288699438969227,0.0,0.7752808988764045
335,39143,335,1.2778275084565138,0.0,0.6708860759493671
336,39248,336,0.9191889459529331,0.0,0.7346938775510204
337,39393,337,0.8582284280915328,0.0,0.7676056338028169
338,39490,338,0.41640607101902083,0.0,0.8958333333333334
339,39627,339,0.6288408026210982,0.0,0.875
340,39748,340,1.162477759110851,0.0,0.7058823529411765
341,39845,341,0.8157615956230108,0.0,0.7956989247311828
342,39974,342,1.165961807776915,0.0,0.7398373983739838
343,40079,343,0.783203955182756,0.0,0.8173076923076923
344,40216,344,0.6958789644624362,0.0,0.8529411764705882
345,40281,345,0.6076496466335521,0.0,0.8571428571428571
346,40410,346,0.9346108267530054,0.0,0.752
347,40483,347,0.13622456853191206,0.0,0.9861111111111112
348,40572,348,0.6942210211397459,0.0,0.8271604938271605
349,40629,349,0.3704577193724453,0.0,0.9464285714285714
350,40830,350,1.0752577216281818,0.0,0.7295918367346939
351,40935,351,1.3605592077315456,0.0,0.6764705882352942
352,41048,352,0.5602740558345565,0.0,0.8504672897196262
353,41145,353,0.8710478916958593,0.0,0.7415730337078652
354,41250,354,0.5339759977502391,0.0,0.9215686274509803
355,41323,355,0.10183794456253913,0.0,0.9846153846153847
356,41524,356,1.49220702268901,0.0,0.6494845360824743
357,41693,357,0.839944750320625,0.0,0.7888198757763976
358,41766,358,0.38044364533818964,0.0,0.8636363636363636
359,41903,359,0.8820984530105178,0.0,0.7674418604651163
360,42032,360,1.0852294964189215,0.0,0.6984126984126984
361,42169,361,0.9363251067221888,0.0,0.7293233082706767
362,42378,362,1.0531293136416213,0.0,0.7128712871287128
363,42571,363,1.0792763234842608,0.0,0.7189189189189189
364,42660,364,0.47679642647092896,0.0,0.8658536585365854
365,42765,365,1.0096274207334819,0.0,0.7628865979381443
366,42990,366,1.0601985386338955,0.0,0.7207207207207207
367,43055,367,0.4974912760725596,0.0,0.8813559322033898
368,43184,368,0.9952739352759145,0.0,0.734375
369,43313,369,0.5210349601855846,0.0,0.8661417322834646
370,43466,370,1.6133212225661577,0.0,0.6490066225165563
371,43579,371,0.7351933822950595,0.0,0.8303571428571429
372,43700,372,0.6513708920780933,0.0,0.8583333333333333
373,43893,373,1.123294603820601,0.0,0.7068062827225131

